
Sr.No,Correct,Incorrect
1,अंधकार,अंध:कार
2,अजस्र,अजस्त्र
3,अनसूया,अनुसया
4,अल्पसंख्याक,अल्पसंख्यांक
5,आध्यात्मिक,अध्यात्मिक
6,आशीर्वाद,आशिर्वाद
7,उज्ज्वल,उज्वल
8,उत्कृष्ट,उत्कृष्ठ
9,उद्ध्वस्त,उध्वस्त
10,उपाहार(फराळ),उपहार
11,औद्योगिकीकरण,औद्योगीकरण
12,ओमकार,ओंकार
13,कातरी,कात्री
14,कुटुंबीयांना,कुटुंबियांना
15,कुटुंबीयांचा,कुटुंबियांचा
16,कोट्यधीश,कोट्याधीश
17,कोट्यवधी,कोट्यावधी
18,खातरी,खात्री
19,चतुरस्र,चतुरस्त्र
20,चतुर्मास,चातुर्मास
21,जाज्वल्य,जाज्ज्वल्य
22,ज्येष्ठ,जेष्ठ
23,ठरावीक,ठराविक
24,तज्ज्ञ,तज्ञ 
25,तत्काळ,तात्काळ
26,दुर्मीळ,दुर्मिळ
27,देदीप्यमान,दैदिप्यमान
28,धिक्कार,धि:कार
29,निवळ,निव्वळ
30,पाश्चिमात्य,पाश्चिमात्त्य
31,प्रथितयश,प्रतिथयश
32,भितरा,भित्रा
33,मथितार्थ,मतितार्थ
34,मन:कामना,मनोकामना
35,मनस्ताप,मन:स्ताप
36,महाराष्ट्रीय,महाराष्ट्रीयन
37,माउली,माऊली
38,माहात्म्य,महात्म्य
39,मैफील,मैफल
40,रक्तस्राव,रक्तस्त्राव
41,लवचीक,लवचिक
42,विपरीत,विपरित
43,व्यक्तिमत्त्व ,व्यक्तिमत्व
44,षष्ट्यब्दीपूर्ती,षष्ठ्याब्दिपूर्ती
45,श्रुती,श्रृती
46,सयुक्तिक,संयुक्तिक
47,सरदी,सर्दी
48,सररास,सर्रास
49,सर्जन,सृजन 
50,सर्जनशील,सृजनशील
51,सर्वकालीन,सार्वकालीन
52,सहस्रक,सहस्त्रक
53,सामग्री,सामुग्री
54,साहाय्य,सहाय्य
55,साहाय्यक,सहाय्यक
56,सुज्ञ,सूज्ञ
57,सोज्ज्वळ,सोज्वळ
58,स्राव,स्त्राव
59,स्रोत,स्त्रोत
60,हाहाकार,हाहा:कार
61,हिंस्र,हिंस्त्र
62,हृषीकेश,ॠषिकेश
63,घनश्याम,घन:श्याम
64,मेघश्याम,मेघ:श्याम
65,पृथक्करण,पृथ:करण
66,धिक्कार,धि:कार
67,मन:स्थिती,मनस्थिती
68,मनस्ताप/ मन:ताप,मन:स्ताप
69,मन:कामना,मनोकामना
70,मनोविकार,मन:विकार
71,आशीर्वचन,आशिर्वचन
72,शुभाशीर्वाद,शुभाशिर्वाद
73,चतुर्मास/ चातुर्मास्य,चातुर्मास
74,आनुवंशिक,अनुवंशिक
75,आनुषंगिक,अनुषंगिक
76,पारंपरिक,पारंपारिक
77,सांसारिक,संसारिक
78,वैदिक,वेदिक
79,सार्वकालिक,सर्वकालिक
80,सर्वकालीन,सार्वकालीन
81,तत्काळ,तात्काळ
82,ठरावीक,ठराविक
83,लवचीक,लवचिक
84,साहाय्य,सहाय्य
85,साहाय्यक,सहाय्यक
86,माहात्म्य,महात्म्य
87,सामग्री,सामुग्री
88,उज्ज्वल,उज्वल
89,उज्ज्वला,उज्वला
90,सौज्ज्वळ,सौज्वळ
91,जाज्वल्य,जाज्ज्वल्य
92,तज्ज्ञ,तज्ञ 
93,तत्त्व,तत्व
94,महत्त्व,महत्व
95,व्यक्तित्व,व्यक्तित्त्व
96,लघुतम,लघुत्तम
97,महत्तम,महतम
98,पश्र्चात्ताप,पश्र्चाताप
99,पश्र्चात्त्य,पश्र्चात्य
100,अनावृत,अनावृत्त
101,षष्ट्यब्दीपूर्ती,षष्ठ्यब्दिपूर्ती
102,बहुसंख्याक,बहुसंख्यांक
103,उपाहार,उपहार
104,अल्पोपाहार,अल्पोपहार
105,उद्योगीकरण,
106,औद्योगिकीकरण,औद्योगीकरण
107,भगवीकरण,भगवेकरण
108,कुटुंबीयांना,कुटुंबियांना
109,परकीयांना,परकियांना
110,भारतीयांना,भारतियांना
111,गणाधीशाला,गणाधिशाला
112,न्यायाधीशांना,न्यायाधिशांना
113,विद्यापीठात,विद्यापिठात
114,सर्जनशीलता ,सृर्जनशीलता
115,प्रथितयश,प्रथिथयश
116,नेर्ॠत्य,नेॠत्य
117,उद्ध्वस्त,उध्वस्त
118,उद्धृत,उधृत
119,पोलीस,पोलिस
120,इंजीन,इंजिन
121,अमिबा,अमीबा
122,घेऊन,घेवून
123,देऊन,देवून
124,जेवून,जेऊन
125,ठेवून,ठेऊन
126,द्ध ,ध्द
127,शृंखला,श्रृंखला
128,श्रुतकीर्ती,श्रृतकीर्ती
129,ज्या वेळी,ज्यावेळी
130,त्या प्रकारे,त्याप्रकारे
131,सर्व जण,सर्वजण
132,लवकर,लौकर
133,सुरुवात,सुरवात
134,ओम्कार ,ओंकार
135,अनसूया,अनुसया
136,त्र्यंबक,त्रिंबक
137,माउली,माऊली
138,हृषीकेश,ॠषिकेश
139,दप्तर ,दत्पर 
140,कल्पना,कप्लना
141,चमत्कार,चमत्त्कार 
142,तत्पर,तप्तर
143,शब्द,शद्ब
144,शुध्द,शुद्ध
145,अशा,अश्या
146,उदाहरण,उधारण
147,जास्त,ज्यास्त
148,भूगोल,भुगोल
149,सिंह,सिंव्ह
150,संसार,सौंसार
151,अतिथी,अथिती
152,अनसूया,अनुसया
153,आशीर्वाद,आशिर्वाद
154,उज्ज्वल,उज्वल
155,ऊर्मी,उर्मी
156,ऊहापोह,उहापोह
157,उष्ण,ऊष्ण
158,गृहपाठ,ग्रहपाठ
159,तत्त्व,तत्व
160,नावीन्य,नाविन्य
161,परीक्षा,परिक्षा
162,पाश्र्चात्त्य,पाश्र्चात्य
163,प्रावीण्य,प्राविण्य
164,मथितार्थ,मतितार्थ
165,मंदिर,मंदीर
166,महत्त्व,महत्व
167,माहात्म्य,महात्म्य
168,रवींद्र,रविंद्र
169,विध्यर्थ,विद्यर्थ
170,"साहाय्य,साह्य",सहाय्य
171,सहायक,सहाय्यक
172,निर्भर्त्सना ,निर्भत्सना
173,सुशीला,सुशिला
174,सुज्ञ,सूज्ञ
175,जादा,ज्यादा
176,तिसरा,तीसरा
177,दुकान,दूकान
178,दुसरा,दूसरा
179,पहिला,पहला
180,पाणी,पानी
181,पोलीस,पुलिस
182,मदत,मदद
183,सफेत,सफेद
184,अध:पात,अधप्पात
185,अंधकार,अंध:कार
186,घनश्याम,घन:शाम
187,धिक्कार,धि:कार
188,नि:स्पृह,निस्पृह
189,पृथक्करण,पृथ:करण
190,दु:ख,दुख्ख
191,मन:स्थिती,मनस्थिती
192,हाहाकार,हाहा:कार
193,अंगुष्ठ,अंगुष्ट
194,बलिष्ठ,बलिष्ट
195,कनिष्ठ,कनिष्ट
196,सुष्ट,सुष्ठ
197,जेष्ठ,जेष्ट
198,वरिष्ट,वरिष्ट
199,विशिष्ट,विशिष्ठ
200,उत्कृष्ट ,उत्कृष्ठ
