word,count,str_sandhi_rachana
अँड,5,अ + ँ + ड् + अ
अँम्बेसिडरपदाचा,1,अ + ँ + म् + ब + े + स + ि + ड् + अ + र् + अ + प् + अ + द + ा + च + ा
अंकात,1,अ + ं + क + ा + त् + अ
अंगठ्याचा,1,अ + ं + ग् + अ + ठ् + य + ा + च + ा
अंगावर,5,अ + ं + ग + ा + व् + अ + र् + अ
अंगी,1,अ + ं + ग + ी
अंतरावरील,1,अ + ं + त् + अ + र + ा + व् + अ + र + ी + ल् + अ
अंतर्गत,3,अ + ं + त् + अ + र् + ग् + अ + त् + अ
अंतर्मन,1,अ + ं + त् + अ + र् + म् + अ + न् + अ
अंतुले,1,अ + ं + त + ु + ल + े
अंदाज,2,अ + ं + द + ा + ज् + अ
अंदाधुंद,1,अ + ं + द + ा + ध + ु + ं + द् + अ
अंमलबजावणी,3,अ + ं + म् + अ + ल् + अ + ब् + अ + ज + ा + व् + अ + ण + ी
अंमलबजावणीबाबत,1,अ + ं + म् + अ + ल् + अ + ब् + अ + ज + ा + व् + अ + ण + ी + ब + ा + ब् + अ + त् + अ
अंमलबजावणीवर,1,अ + ं + म् + अ + ल् + अ + ब् + अ + ज + ा + व् + अ + ण + ी + व् + अ + र् + अ
अंमलबजावणीसाठी,2,अ + ं + म् + अ + ल् + अ + ब् + अ + ज + ा + व् + अ + ण + ी + स + ा + ठ + ी
अंश,1,अ + ं + श् + अ
अकबरउद्दीन,1,अ + क् + अ + ब् + अ + र + उ + द् + द + ी + न् + अ
अक्रम,4,अ + क् + र् + अ + म् + अ
अक्षय,1,अ + क् + ष् + अ + य् + अ
अखंड,2,अ + ख + ं + ड् + अ
अखर्चित,2,अ + ख् + अ + र् + च + ि + त् + अ
अखिल,2,अ + ख + ि + ल् + अ
अखेर,4,अ + ख + े + र् + अ
अखेरच्या,5,अ + ख + े + र् + अ + च् + य + ा
अखेरीस,1,अ + ख + े + र + ी + स् + अ
अगोदर,1,अ + ग + ो + द् + अ + र् + अ
अच्छे,3,अ + च् + छ + े
अजमल,1,अ + ज् + अ + म् + अ + ल् + अ
अजमावण्याचा,1,अ + ज् + अ + म + ा + व् + अ + ण् + य + ा + च + ा
अजमावत,1,अ + ज् + अ + म + ा + व् + अ + त् + अ
अजय,5,अ + ज् + अ + य् + अ
अजहर,1,अ + ज् + अ + ह् + अ + र् + अ
अजात,1,अ + ज + ा + त् + अ
अजामीनपात्र,3,अ + ज + ा + म + ी + न् + अ + प + ा + त् + र् + अ
अजित,3,अ + ज + ि + त् + अ
अजून,4,अ + ज + ू + न् + अ
अजूनपर्यंत,1,अ + ज + ू + न् + अ + प् + अ + र् + य + ं + त् + अ
अजूनही,4,अ + ज + ू + न् + अ + ह + ी
अज्ञात,3,अ + ज् + ञ + ा + त् + अ
अझ,1,अ + झ् + अ
अझर,4,अ + झ् + अ + र् + अ
अझरचे,1,अ + झ् + अ + र् + अ + च + े
अझरला,1,अ + झ् + अ + र् + अ + ल + ा
अझरवर,2,अ + झ् + अ + र् + अ + व् + अ + र् + अ
अझरवरील,1,अ + झ् + अ + र् + अ + व् + अ + र + ी + ल् + अ
अझह,1,अ + झ् + अ + ह् + अ
अझहर,3,अ + झ् + अ + ह् + अ + र् + अ
अझहरबाबतचा,1,अ + झ् + अ + ह् + अ + र् + अ + ब + ा + ब् + अ + त् + अ + च + ा
अझान,1,अ + झ + ा + न् + अ
अटक,11,अ + ट् + अ + क् + अ
अटकेच्या,1,अ + ट् + अ + क + े + च् + य + ा
अटकेबाबत,1,अ + ट् + अ + क + े + ब + ा + ब् + अ + त् + अ
अटकेमुळे,1,अ + ट् + अ + क + े + म + ु + ळ + े
अटींमध्ये,1,अ + ट + ी + ं + म् + अ + ध् + य + े
अटींवर,1,अ + ट + ी + ं + व् + अ + र् + अ
अटीवर,2,अ + ट + ी + व् + अ + र् + अ
अडकलेल्या,1,अ + ड् + अ + क् + अ + ल + े + ल् + य + ा
अडचणी,1,अ + ड् + अ + च् + अ + ण + ी
अडचणींना,1,अ + ड् + अ + च् + अ + ण + ी + ं + न + ा
अडचणींमध्ये,1,अ + ड् + अ + च् + अ + ण + ी + ं + म् + अ + ध् + य + े
अडचणीच्या,1,अ + ड् + अ + च् + अ + ण + ी + च् + य + ा
अडचणीत,1,अ + ड् + अ + च् + अ + ण + ी + त् + अ
अडथळा,2,अ + ड् + अ + थ् + अ + ळ + ा
अडवल्याने,1,अ + ड् + अ + व् + अ + ल् + य + ा + न + े
अडवाणी,6,अ + ड् + अ + व + ा + ण + ी
अडवाणींनी,1,अ + ड् + अ + व + ा + ण + ी + ं + न + ी
अडवू,1,अ + ड् + अ + व + ू
अडीच,1,अ + ड + ी + च् + अ
अडेनेऊर,1,अ + ड + े + न + े + ऊ + र् + अ
अणु,1,अ + ण + ु
अणुऊर्जा,1,अ + ण + ु + ऊ + र् + ज + ा
अणुकार्यक्रमावर,1,अ + ण + ु + क + ा + र् + य् + अ + क् + र् + अ + म + ा + व् + अ + र् + अ
अणुतस्करी,2,अ + ण + ु + त् + अ + स् + क् + अ + र + ी
अणुपुरवठादार,5,अ + ण + ु + प + ु + र् + अ + व् + अ + ठ + ा + द + ा + र् + अ
अणुबॉम्ब,1,अ + ण + ु + ब + ॉ + म् + ब् + अ
अणुशक्तीच्या,1,अ + ण + ु + श् + अ + क् + त + ी + च् + य + ा
अणुशक्तीवर,1,अ + ण + ु + श् + अ + क् + त + ी + व् + अ + र् + अ
अणुसहकार्यात,1,अ + ण + ु + स् + अ + ह् + अ + क + ा + र् + य + ा + त् + अ
अणुसाहित्य,2,अ + ण + ु + स + ा + ह + ि + त् + य् + अ
अणुसुरक्षा,11,अ + ण + ु + स + ु + र् + अ + क् + ष + ा
अणुसुरक्षेचा,2,अ + ण + ु + स + ु + र् + अ + क् + ष + े + च + ा
अणुसुरक्षेच्या,1,अ + ण + ु + स + ु + र् + अ + क् + ष + े + च् + य + ा
अणुसुरक्षेला,1,अ + ण + ु + स + ु + र् + अ + क् + ष + े + ल + ा
